team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,+/-,GP_x,W_x,L_x,MIN_x,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,OREB%,DREB%_x,REB%,TOV%,EFG%,TS%,PACE,PIE,GP_y,W_y,L_y,MIN_y,DEFåÊRTG,DREB_y,DREB%_y,STL_y,BLK_y,OPPåÊPTS OFFåÊTOV,OPPåÊPTS 2NDåÊCHANCE,OPPåÊPTS FB,OPPåÊPTS PAINT
76ers,2014,11856,4616,6202,13532,0.3893387314439946,18,64,2765,6777,40.8,2073,4617,0.44899285299999997,692,2160,32.0,1320,1953,67.6,978,2536,3514,1683,1453,789,487,454,1778,1657,-736,28,14,14,1364,104.2,104.2,0.0,65.7,1.48,18.5,26.4,78.3,53.1,17.1,51.8,55.3,103.13,51.3,82,18,64,3961,102,2536,73.0,789,487,1687,1144,1200,3420
76ers,2015,12640,5200,7514,18092,0.41139240506329117,10,72,2970,6887,43.1,2206,4632,0.476252159,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,1571,-839,82,10,72,3961,96.6,106.7,-10.0,59.4,1.31,16.3,20.6,74.0,46.4,16.2,48.7,51.9,100.23,42.8,82,10,72,3961,107,2605,74.0,680,495,1639,1207,1370,3736
76ers,2016,1564,628,626,1520,0.40153452685422,28,54,3088,6992,44.2,2257,4549,0.49615300100000004,831,2443,34.0,1393,1806,77.1,807,2706,3513,1949,1366,692,420,446,1793,1610,-467,82,28,54,3966,100.7,106.4,-5.7,63.1,1.43,17.6,22.4,75.3,48.8,16.4,50.1,53.9,100.96,47.0,82,28,54,3966,106,2706,75.3,692,420,1517,1106,1256,3698
Bucks,2014,13048,5828,6326,14388,0.4466584917228694,41,41,3083,6722,45.9,2538,5222,0.48602068200000004,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,1649,35,27,15,12,1301,107.2,106.5,0.8,56.9,1.67,17.5,18.8,76.3,47.3,13.7,53.4,56.9,97.37,50.3,82,41,41,3986,99,2574,73.3,789,403,1374,1092,877,3262
Bucks,2015,9676,4340,5922,15476,0.4485324514262092,33,49,3145,6740,46.7,2705,5463,0.495149185,440,1277,34.5,1391,1859,74.8,858,2559,3417,1895,1247,672,475,462,1695,1600,-343,82,33,49,3966,102.2,105.7,-3.5,60.3,1.52,17.7,24.9,73.1,49.2,15.7,49.9,53.7,96.55,48.3,82,33,49,3966,106,2559,73.1,672,475,1453,1153,1068,3606
Bucks,2016,1288,524,660,1644,0.40683229813664595,42,40,3182,6715,47.4,2462,4769,0.516250786,720,1946,37.0,1413,1839,76.8,723,2589,3312,1984,1145,666,436,375,1660,1579,-15,82,42,40,3956,106.9,106.4,0.5,62.4,1.73,18.6,21.5,75.4,48.8,14.4,52.7,56.5,96.73,50.4,82,42,40,3956,106,2589,75.4,666,436,1331,1040,961,3580
Bulls,2014,14188,6068,5732,15736,0.4276853679165492,50,32,3001,6797,44.2,2356,4972,0.47385358,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,1736,246,28,8,20,1354,98.3,107.1,-8.8,59.5,1.6,16.9,20.2,81.2,49.3,14.0,48.6,51.4,98.63,44.3,82,50,32,3976,102,2792,74.4,514,476,1258,1079,1065,3344
Bulls,2015,13356,5840,6488,17716,0.43725666367175803,42,40,3165,7170,44.1,2514,5417,0.46409451700000004,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,1535,-121,82,42,40,3981,102.1,103.9,-1.8,59.1,1.64,17.1,24.5,74.9,50.2,14.0,48.7,52.6,98.25,49.4,82,42,40,3981,104,2889,74.9,495,470,1314,1169,1128,3642
Bulls,2016,1476,640,670,1800,0.43360433604336046,41,41,3169,7141,44.4,2546,5310,0.47947269299999995,623,1831,34.0,1474,1848,79.8,999,2797,3796,1851,1112,643,393,378,1455,1541,35,82,41,41,3956,104.6,104.5,0.1,58.4,1.66,17.0,27.0,76.8,51.7,13.8,48.7,53.0,97.72,50.4,82,41,41,3956,105,2797,76.8,643,393,1267,977,1125,3710
Cavaliers,2014,15680,6772,6624,17432,0.4318877551020408,53,29,3089,6739,45.8,2263,4486,0.504458315,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367,29,21,8,1397,111.4,107.9,3.5,59.1,1.6,18.0,20.1,76.4,49.4,14.9,55.8,59.7,99.47,52.0,82,53,29,3956,104,2612,74.7,603,340,1329,1017,970,3502
Cavaliers,2015,15932,7128,6218,15892,0.4474014561888024,57,25,3171,6888,46.0,2291,4460,0.51367713,880,2428,36.2,1333,1783,74.8,873,2777,3650,1861,1114,551,317,362,1666,1690,492,82,57,25,3971,108.1,102.3,5.8,58.7,1.67,17.5,25.1,78.5,52.0,14.1,52.4,55.8,95.48,52.8,82,57,25,3971,102,2777,78.5,551,317,1278,919,917,3344
Cavaliers,2016,1400,612,500,1260,0.43714285714285717,51,31,3275,6963,47.0,2208,4184,0.527724665,1067,2779,38.4,1431,1913,74.8,766,2821,3587,1858,1121,539,327,349,1486,1690,261,82,51,31,3976,110.9,108.0,2.9,56.7,1.66,17.2,21.9,75.8,49.7,13.7,54.7,58.0,98.38,51.0,82,51,31,3976,108,2821,75.8,539,327,1365,1122,1094,3650
Celtics,2014,14060,5956,5742,14784,0.42361308677098153,40,42,3193,7211,44.3,2533,5190,0.48805395,660,2021,32.7,1266,1678,75.4,910,2685,3595,2009,1133,674,294,431,1738,1545,13,31,24,7,1493,105.3,100.6,4.7,59.5,1.59,17.2,21.0,78.9,50.6,14.3,51.7,55.6,97.72,53.2,82,40,42,3976,102,2685,75.0,674,294,1325,1108,890,3658
Celtics,2015,13976,5812,7596,19812,0.41585575271894676,48,34,3216,7318,43.9,2499,5176,0.482805255,717,2142,33.5,1520,1929,78.8,950,2733,3683,1981,1127,752,348,450,1796,1718,263,82,48,34,3956,103.9,100.9,3.0,61.6,1.76,17.6,25.1,74.6,49.4,13.5,48.8,53.1,101.15,52.0,82,48,34,3956,101,2733,74.6,752,348,1211,1164,888,3524
Celtics,2016,1396,608,562,1560,0.4355300859598854,53,29,3168,6978,45.4,2183,4236,0.515344665,985,2742,35.9,1536,1903,80.7,744,2698,3442,2069,1088,617,340,425,1686,1664,216,82,53,29,3951,108.6,105.5,3.1,65.3,1.9,18.9,21.2,75.3,48.5,13.3,52.5,56.7,99.32,51.4,82,53,29,3951,106,2698,75.3,617,340,1245,1143,1002,3544
Clippers,2014,16248,7528,5926,15028,0.4633185622845889,56,26,3228,6830,47.3,2401,4628,0.5187986170000001,827,2202,37.6,1468,2067,71.0,784,2711,3495,2031,1012,640,409,245,1749,1766,540,27,11,16,1301,105.0,106.9,-1.9,53.9,1.36,15.6,24.2,76.6,49.8,15.1,50.9,54.8,99.15,47.6,82,56,26,3946,103,2711,75.7,640,409,1218,1048,1007,3184
Clippers,2015,14640,6636,6218,15792,0.4532786885245902,53,29,3141,6759,46.5,2344,4569,0.5130225429999999,797,2190,36.4,1490,2152,69.2,721,2727,3448,1873,1063,709,460,259,1746,1842,351,82,53,29,3966,106.5,100.9,5.5,59.6,1.76,17.6,20.1,73.8,47.4,13.2,52.4,55.6,97.97,53.3,82,53,29,3966,101,2727,73.8,709,460,1191,1135,1016,3386
Clippers,2016,1512,668,620,1640,0.4417989417989418,51,31,3242,6820,47.5,2401,4575,0.524808743,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,1835,352,82,51,31,3951,110.3,105.8,4.5,57.0,1.74,17.3,21.5,76.9,49.9,13.1,53.7,57.4,98.22,52.7,82,51,31,3951,106,2790,76.9,612,347,1247,1044,1171,3502
Grizzlies,2014,13568,5896,5658,15808,0.4345518867924528,55,27,3097,6763,45.8,2674,5517,0.484683705,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,29,9,20,1397,101.3,105.3,-4.0,58.9,1.42,16.7,19.4,77.1,48.0,15.3,50.3,54.5,95.66,47.6,82,55,27,3981,100,2634,75.3,700,347,1158,954,1101,3196
Grizzlies,2015,13328,5572,7554,18924,0.4180672268907563,42,40,3019,6859,44.0,2515,5338,0.471150244,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184,82,42,40,3966,102.6,105.4,-2.9,56.2,1.56,16.1,25.3,75.1,49.1,13.8,47.7,52.4,95.65,48.3,82,42,40,3966,105,2497,75.1,724,350,1239,970,1198,3160
Grizzlies,2016,1616,616,650,1428,0.3811881188118812,43,39,2984,6854,43.5,2217,4685,0.47321238,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,1708,40,82,43,39,3981,104.7,104.5,0.1,58.4,1.65,16.6,24.8,77.5,50.4,13.5,49.1,53.5,94.74,50.1,82,43,39,3981,105,2621,77.5,653,344,1217,946,1199,3096
Hawks,2014,17052,7604,6866,16540,0.4459300961764016,60,22,3121,6699,46.6,2303,4547,0.506487794,818,2152,38.0,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445,29,6,23,1397,103.2,108.4,-5.1,61.2,1.5,17.8,21.1,74.0,47.3,15.7,52.0,55.4,99.75,47.2,82,60,22,3946,101,2611,73.4,744,380,1290,1161,916,3232
Hawks,2015,17520,7644,7912,19304,0.4363013698630137,48,34,3168,6923,45.8,2353,4597,0.5118555579999999,815,2326,35.0,1282,1638,78.3,679,2772,3451,2100,1226,747,486,411,1570,1500,296,82,48,34,3966,103.0,98.8,4.1,66.3,1.71,19.1,19.1,74.6,47.5,15.0,51.6,55.2,99.4,52.8,82,48,34,3966,99,2772,74.6,747,486,1308,1071,976,3354
Hawks,2016,1404,640,736,1568,0.45584045584045585,43,39,3123,6918,45.1,2394,4781,0.500732064,729,2137,34.1,1484,2039,72.8,842,2793,3635,1938,1294,672,397,424,1491,1768,-70,82,43,39,3976,102.3,103.1,-0.8,62.1,1.5,17.5,23.6,76.1,50.3,15.7,50.4,54.1,99.83,50.6,82,43,39,3976,103,2793,76.1,672,397,1425,1083,1048,3210
Heat,2014,10792,4604,5388,13220,0.42661230541141587,37,45,2885,6330,45.6,2329,4671,0.498608435,556,1659,33.5,1438,1940,74.1,747,2461,3208,1626,1214,642,372,359,1636,1715,-213,28,14,14,1349,102.5,104.4,-1.9,56.6,1.33,16.6,18.6,78.6,48.9,16.2,52.8,55.9,97.77,48.6,82,37,45,3946,104,2461,73.4,642,372,1382,1088,936,3362
Heat,2015,13152,5884,9304,25712,0.4473844282238443,48,34,3150,6697,47.0,2652,5217,0.508338125,498,1480,33.6,1405,1887,74.5,807,2811,3618,1709,1155,553,531,337,1502,1608,135,82,48,34,3966,104.2,101.5,2.6,54.3,1.48,16.4,23.8,77.8,51.7,14.7,50.8,54.5,95.75,52.5,82,48,34,3966,102,2811,77.8,553,531,1278,1062,879,3444
Heat,2016,1172,476,482,1392,0.4061433447098976,41,41,3202,7037,45.5,2394,4824,0.49626865700000006,808,2213,36.5,1248,1768,70.6,872,2705,3577,1742,1102,588,469,398,1680,1530,87,82,41,41,3956,105.2,104.1,1.0,54.4,1.58,16.3,24.2,76.4,50.0,13.7,51.2,54.1,97.59,50.0,82,41,41,3956,104,2705,76.4,588,469,1142,1053,844,3646
Hornets,2014,12052,4932,4294,12268,0.4092266843677398,33,49,2913,6932,42.0,2415,5366,0.45005590799999995,498,1566,31.8,1397,1867,74.8,820,2793,3613,1654,976,499,448,440,1494,1708,-260,28,10,18,1354,102.9,104.5,-1.6,53.6,1.49,15.3,22.2,81.6,51.6,13.3,48.9,53.2,101.06,49.1,82,33,49,3981,101,2793,79.3,499,448,1053,1031,905,3156
Hornets,2015,13848,5864,5226,13868,0.42345465049104564,48,34,3036,6922,43.9,2163,4512,0.479388298,873,2410,36.2,1534,1941,79.0,734,2869,3603,1778,1029,595,438,448,1487,1670,223,82,48,34,3971,105.1,101.8,3.3,58.6,1.73,16.8,20.0,79.8,49.6,12.7,50.2,54.5,97.8,51.1,82,48,34,3971,102,2869,79.8,595,438,1155,933,1017,3280
Hornets,2016,1288,516,496,1316,0.40062111801242234,36,46,3093,7000,44.2,2269,4653,0.487642381,824,2347,35.1,1591,1953,81.5,721,2853,3574,1891,942,571,390,450,1360,1631,16,82,36,46,3966,106.4,106.1,0.3,61.1,2.01,17.7,19.9,79.6,49.5,11.7,50.1,54.7,97.85,50.5,82,36,46,3966,106,2853,79.6,571,390,1071,937,1055,3320
Jazz,2014,12060,5028,5348,13296,0.41691542288557215,38,44,2900,6492,44.7,2290,4711,0.48609637,610,1781,34.3,1391,1929,72.1,988,2617,3605,1632,1256,623,489,382,1583,1604,18,29,14,15,1397,105.2,101.8,3.4,57.8,1.45,17.0,20.0,78.5,48.7,15.3,52.6,56.3,97.71,52.2,82,38,44,3941,102,2617,76.3,623,489,1429,1028,1037,3236
Jazz,2015,12204,5196,5432,14032,0.4257620452310718,40,42,2957,6593,44.9,2263,4637,0.488031055,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147,82,40,42,3991,103.1,101.6,1.6,52.6,1.27,15.2,25.9,77.7,51.9,15.8,50.1,54.0,93.26,50.8,82,40,42,3991,102,2665,77.7,631,425,1312,940,961,3246
Jazz,2016,1576,656,594,1660,0.41624365482233505,51,31,3033,6515,46.6,2242,4387,0.511055391,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,1655,323,82,51,31,3951,107.4,102.7,4.7,54.4,1.48,16.3,23.2,78.9,51.8,14.5,52.6,56.3,93.62,53.4,82,51,31,3951,103,2774,78.9,550,410,1243,878,865,3358
Kings,2014,11024,4964,5542,14576,0.4502902757619739,29,53,3010,6617,45.5,2549,5267,0.483956712,461,1350,34.1,1829,2400,76.2,895,2728,3623,1667,1333,550,324,508,1696,1958,-304,28,9,19,1349,98.5,109.1,-10.6,54.5,1.38,16.1,21.5,76.3,47.8,15.3,49.5,52.2,96.82,43.8,82,29,53,3971,107,2728,75.2,550,324,1524,1115,1378,3596
Kings,2015,14444,6524,6498,16700,0.4516754361672667,33,49,3283,7083,46.4,2623,5244,0.5001906939999999,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203,82,33,49,3961,103.3,106.3,-3.0,61.2,1.52,17.7,23.9,74.9,49.6,15.7,51.0,54.6,102.24,49.4,82,33,49,3961,106,2760,74.9,733,368,1528,1117,1231,3574
Kings,2016,1488,616,772,1828,0.41397849462365593,32,50,3105,6734,46.1,2368,4774,0.496020109,737,1960,37.6,1483,1913,77.5,715,2652,3367,1844,1201,627,324,420,1667,1646,-318,82,32,50,3976,104.6,109.1,-4.5,59.4,1.54,17.4,21.0,76.3,48.9,14.9,51.6,55.6,97.06,47.8,82,32,50,3976,109,2652,76.3,627,324,1426,1024,1209,3340
Knicks,2014,12536,5500,5204,12208,0.4387364390555201,17,65,2882,6726,42.8,2322,5112,0.454225352,560,1614,34.7,1211,1575,76.9,867,2443,3310,1746,1206,575,382,353,1768,1564,-764,28,15,13,1349,105.2,105.2,0.1,57.4,1.45,17.3,26.4,77.4,52.6,16.0,51.8,55.5,98.73,51.3,82,17,65,3971,107,2443,73.1,575,382,1406,1027,1006,3372
Knicks,2015,11896,5208,5154,14288,0.4377942165433759,32,50,3022,6886,43.9,2412,5124,0.470725995,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,1520,-224,82,32,50,3961,102.0,104.8,-2.8,55.7,1.53,16.1,23.7,75.8,50.1,13.9,48.3,52.7,95.83,48.7,82,32,50,3961,105,2788,75.8,467,466,1262,1043,1050,3538
Knicks,2016,1336,576,516,1616,0.4311377245508982,31,51,3244,7256,44.7,2540,5234,0.48528849799999996,704,2022,34.8,1364,1731,78.8,983,2723,3706,1786,1139,581,455,377,1668,1516,-301,82,31,51,3971,104.7,108.7,-4.1,55.1,1.57,16.3,26.6,74.1,50.3,13.9,49.6,53.4,98.63,48.2,82,31,51,3971,109,2723,74.1,581,455,1354,1204,1147,3780
Lakers,2014,11292,4852,4982,13936,0.42968473255402057,21,61,3054,7020,43.5,2522,5474,0.46072342,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,1589,-561,27,10,17,1311,100.5,103.3,-2.8,56.8,1.35,16.6,23.5,77.8,50.5,16.2,50.4,53.4,104.63,48.5,82,21,61,3986,108,2647,76.3,578,366,1305,1025,1241,3696
Lakers,2015,11512,4748,6176,17860,0.4124391938846421,17,65,2880,6956,41.4,2241,4940,0.453643725,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784,82,17,65,3946,98.6,109.3,-10.7,51.3,1.31,14.1,23.1,74.7,48.0,13.9,46.0,50.9,97.99,42.4,82,17,65,3946,109,2645,74.7,593,337,1352,1172,1393,3918
Lakers,2016,1376,612,772,1940,0.44476744186046513,26,56,3224,7164,45.0,2494,5054,0.49347051799999997,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,1520,-564,82,26,56,3941,103.4,110.6,-7.2,53.2,1.38,15.7,25.0,75.8,49.5,15.0,50.1,53.7,100.8,44.6,82,26,56,3941,111,2636,75.8,674,320,1474,1087,1328,3890
Magic,2014,11880,5280,5456,14132,0.4444444444444444,25,57,3076,6792,45.3,2522,5194,0.485560262,554,1598,34.7,1141,1565,72.9,822,2607,3429,1692,1221,647,314,441,1714,1467,-469,30,11,19,1445,103.6,107.1,-3.5,59.2,1.57,17.6,19.1,75.8,47.5,14.7,52.4,55.4,102.17,47.4,82,25,57,3951,105,2607,76.0,647,314,1384,957,1010,3366
Magic,2015,13912,6052,6296,15936,0.43502012650948824,35,47,3242,7120,45.5,2606,5302,0.49151263700000003,636,1818,35.0,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,1497,-133,82,35,47,3981,102.6,104.6,-2.0,59.6,1.67,17.7,23.1,76.5,49.4,14.2,50.0,53.3,98.16,48.8,82,35,47,3981,105,2709,76.5,673,417,1314,934,1079,3564
